OM, M, steepE, steepW,B0_E,B0_W
1,0.1,0.98,0.9,1620.742049,110.25
2,0.1,0.7,0.6,1601.86,185.9786667
4,0.07,0.98,0.6,1867.314685,104.3721805
5,0.07,0.7,0.6,1935.590909,133.719888
7,0.1,0.98,0.9,1653.031802,167.1410256
8,0.1,0.7,0.6,1704.885714,322.6773333
10,0.07,0.98,0.9,1862.741259,126.9774436
11,0.07,0.7,0.6,2237.974359,382.0589888
