"OM","lnq_GOM","lnq_MED","Bmsy_GOM","Bmsy_MED","Fmsy_GOM","Fmsy_MED","MSY_GOM","MSY_MED","B0_MED","B0_GOM","q_GOM","q_MED","MEDsmooth","GOMsmooth","propW_GOM","propW_MED","B_MED","B_GOM","B_ME","B_MW","B_GE","B_GW","B_E","B_W","MSY_E","MSY_W","Fmsy_E","Fmsy_W","Bmsy_E","Bmsy_W","TAC_E","TAC_W","mpName","area","simNum"
1,-17.8043,-17.7241,34.398,458.67,0.125,0.13,3.265,51.178,739,131,0.0185221226567636,0.0200687892964717,25.8550520506587,1.63112848881643,0.9,0.102,1288.32146616858,88.0637991143418,1156.91267661938,131.408789549195,8.80637991143418,79.2574192029077,1165.71905653082,210.666208752103,50.816043078791,33.1520396489619,0.129962227691732,0.128118886278146,455.464853445304,299.049223800312,50.816043078791,3.265,"empMPtest_min","West",2
2,-18.4976,-18.4518,69.742,560.651,0.075,0.078,4.108,35.134,1600,185,0.00925964616631023,0.00969359964144573,25.8550520506587,1.63112848881643,0.9,0.102,2667.22920349562,176.15451600635,2395.17182473906,272.057378756553,17.615451600635,158.539064405715,2412.7872763397,430.596443162268,34.9074831384761,23.7106984600983,0.0779780973833375,0.0768954456062752,557.066936118938,379.905769043654,34.9074831384761,4.108,"empMPtest_min","West",2
4,-17.0021,-16.8817,27.763,534.052,0.093,0.094,2.683,49.822,789,108,0.0413125297175175,0.046598382813032,25.8550520506587,1.63112848881643,0.9,0.102,554.848698385042,39.4826581661688,498.254131149767,56.5945672352742,3.94826581661688,35.5343923495519,502.202396966384,92.1289595848261,49.451397821568,31.6403584345892,0.0939921380984231,0.0936142972577821,530.071605712549,338.774944345229,38.0830420297365,0.858434424927166,"empMPtest_min","West",2
7,-18.4938,-18.4366,52.148,467.808,0.128,0.132,4.997,52.448,765,192,0.00929489976115057,0.00984206785592876,25.8550520506587,1.63112848881643,0.9,0.102,2626.99388270158,175.486399071669,2359.04050666602,267.953376035561,17.5486399071669,157.937759164502,2376.58914657318,425.891135200063,52.0976236998155,34.8512387840279,0.131970464158801,0.130516637270787,464.738783061797,313.664361993826,52.0976236998155,4.997,"empMPtest_min","West",2
11,-19.4289,-19.4113,136.013,785.529,0.054,0.059,6.7,35.159,2238,382,0.00364868138137785,0.00371346661140019,25.8550520506587,1.63112848881643,0.9,0.102,6962.51097863241,447.046019732331,6252.3348588119,710.176119820506,44.7046019732331,402.341417759098,6297.03946078514,1112.5175375796,34.9569608869407,24.8668167118899,0.0589645034763942,0.0571917524705524,780.917887994736,550.631859532657,34.9569608869407,6.7,"empMPtest_min","West",2
1,-17.8043,-17.7241,34.398,458.67,0.125,0.13,3.265,51.178,739,131,0.0185221226567636,0.0200687892964717,24.7008828649464,1.43602366936687,0.9,0.102,1230.81081275237,77.5301889517769,1105.26810985163,125.542702900742,7.75301889517769,69.7771700565992,1113.02112874681,195.319872957341,50.8442503660259,34.0612903774619,0.129965171286084,0.128213771875844,455.714630377863,307.10068426161,50.8442503660259,3.265,"empMPtest_min","West",2
2,-18.4976,-18.4518,69.742,560.651,0.075,0.078,4.108,35.134,1600,185,0.00925964616631023,0.00969359964144573,24.7008828649464,1.43602366936687,0.9,0.102,2548.16412670231,155.084075954395,2288.25138577868,259.912740923636,15.5084075954395,139.575668358955,2303.75979337411,399.488409282591,34.9251397466698,24.293949110209,0.0779798046554506,0.0769518419174443,557.346307867528,389.134254616889,34.9251397466698,4.108,"empMPtest_min","West",2
4,-17.0021,-16.8817,27.763,534.052,0.093,0.094,2.683,49.822,789,108,0.0413125297175175,0.046598382813032,24.7008828649464,1.43602366936687,0.9,0.102,530.080259738937,34.760003301322,476.012073245565,54.0681864933715,3.4760003301322,31.2840029711898,479.488073575697,85.3521894645613,49.4802705835827,32.5442169072626,0.0939927506010646,0.0936334715820714,530.381709062379,348.482693815335,33.9148597655646,0.795452320971166,"empMPtest_min","West",2
7,-18.4938,-18.4366,52.148,467.808,0.128,0.132,4.997,52.448,765,192,0.00929489976115057,0.00984206785592876,24.7008828649464,1.43602366936687,0.9,0.102,2509.72491010279,154.495874755847,2253.73296927231,255.991940830485,15.4495874755847,139.046287280263,2269.18255674789,395.038228110747,52.1249328350758,35.7461091240465,0.131972766250243,0.130592072590592,464.978004894051,321.503223251378,52.1249328350758,4.997,"empMPtest_min","West",2
11,-19.4289,-19.4113,136.013,785.529,0.054,0.059,6.7,35.159,2238,382,0.00364868138137785,0.00371346661140019,24.7008828649464,1.43602366936687,0.9,0.102,6651.70457952031,393.573326708124,5973.23071240924,678.473867111072,39.3573326708124,354.215994037311,6012.58804508005,1032.68986114838,34.9727124442784,25.397470083266,0.0589672708886958,0.057284983675334,781.277383708421,562.742891373646,34.9727124442784,6.7,"empMPtest_min","West",2
1,-17.8043,-17.7241,34.398,458.67,0.125,0.13,3.265,51.178,739,131,0.0185221226567636,0.0200687892964717,24.918992070315,1.84294459016087,0.9,0.102,1241.67889264232,99.4996429033954,1115.0276455928,126.651247049517,9.94996429033954,89.5496786130558,1124.97760988314,216.200925662573,50.7542292201597,31.3326004567819,0.129955777056348,0.127929017224634,454.91748865017,282.93799918602,50.7542292201597,3.265,"empMPtest_min","West",2
2,-18.4976,-18.4518,69.742,560.651,0.075,0.078,4.108,35.134,1600,185,0.00925964616631023,0.00969359964144573,24.918992070315,1.84294459016087,0.9,0.102,2570.66445820312,199.02969909003,2308.4566834664,262.207774736718,19.902969909003,179.126729181027,2328.3596533754,441.334503917745,34.8687877319977,22.5413161055036,0.0779743558046797,0.0767823744058696,556.454677906506,361.403212403683,34.8687877319977,4.108,"empMPtest_min","West",2
4,-17.0021,-16.8817,27.763,534.052,0.093,0.094,2.683,49.822,789,108,0.0413125297175175,0.046598382813032,24.918992070315,1.84294459016087,0.9,0.102,534.760877223963,44.6098218328039,480.215267747119,54.5456094768442,4.46098218328038,40.1488396495235,484.676249930399,94.6944491263677,49.3881305063579,29.8358638568636,0.0939907959546524,0.093576016968049,529.392093084992,319.39405473658,34.9373220407881,0.881979893697959,"empMPtest_min","West",2
7,-18.4938,-18.4366,52.148,467.808,0.128,0.132,4.997,52.448,765,192,0.00929489976115057,0.00984206785592876,24.918992070315,1.84294459016087,0.9,0.102,2531.8858226835,198.27482140945,2273.63346876978,258.252353913717,19.827482140945,178.447339268505,2293.46095091073,436.699693182222,52.0377755073195,33.0582343834334,0.131965419106642,0.130365491507739,464.214526466722,297.958050026721,52.0377755073195,4.997,"empMPtest_min","West",2
11,-19.4289,-19.4113,136.013,785.529,0.054,0.059,6.7,35.159,2238,382,0.00364868138137785,0.00371346661140019,24.918992070315,1.84294459016087,0.9,0.102,6710.43924127788,505.098800779617,6025.97443866754,684.464802610344,50.5098800779617,454.588920701656,6076.4843187455,1139.053723312,34.9224387580489,23.801198493824,0.0589584382371216,0.0570045325720904,780.129994004459,526.31139561877,34.9224387580489,6.7,"empMPtest_min","West",2
1,-17.8043,-17.7241,34.398,458.67,0.125,0.13,3.265,51.178,739,131,0.0185221226567636,0.0200687892964717,31.6131456576651,2.51841172511741,0.9,0.102,1575.23930271284,135.967770637658,1414.56489383613,160.67440887671,13.5967770637658,122.370993573892,1428.1616708999,283.045402450603,50.7218454954153,30.4634384337539,0.12995239762647,0.127838315116331,454.63072915557,275.241526207201,50.7218454954153,3.265,"empMPtest_min","West",2
2,-18.4976,-18.4518,69.742,560.651,0.075,0.078,4.108,35.134,1600,185,0.00925964616631023,0.00969359964144573,31.6131456576651,2.51841172511741,0.9,0.102,3261.23904710286,271.977101487988,2928.59266429836,332.646382804491,27.1977101487988,244.779391339189,2955.79037444716,577.42577414368,34.8485142083242,21.9816162032214,0.0779723954949066,0.0767282552894238,556.133900003038,352.547358625257,34.8485142083242,4.108,"empMPtest_min","West",2
4,-17.0021,-16.8817,27.763,534.052,0.093,0.094,2.683,49.822,789,108,0.0413125297175175,0.046598382813032,31.6131456576651,2.51841172511741,0.9,0.102,678.417227149435,60.959997907113,609.218669980193,69.1985571692424,6.0959997907113,54.8639981164017,615.314669770904,124.062555285644,49.3549880006902,28.9757905917344,0.0939900928742801,0.0935577714968865,529.036131226404,310.156573387188,49.3549880006902,1.15528888030773,"empMPtest_min","West",2
7,-18.4938,-18.4366,52.148,467.808,0.128,0.132,4.997,52.448,765,192,0.00929489976115057,0.00984206785592876,31.6131456576651,2.51841172511741,0.9,0.102,3212.04305034552,270.945549692047,2884.41465921028,327.628391135243,27.0945549692046,243.850994722842,2911.50921417949,571.479385858085,52.0064201754944,32.2005967918868,0.131962775931002,0.130293194815021,463.939860870077,290.445339202876,52.0064201754944,4.997,"empMPtest_min","West",2
11,-19.4289,-19.4113,136.013,785.529,0.054,0.059,6.7,35.159,2238,382,0.00364868138137785,0.00371346661140019,31.6131456576651,2.51841172511741,0.9,0.102,8513.10889954255,690.225169556018,7644.77179178921,868.33710775334,69.0225169556018,621.202652600416,7713.79430874481,1489.53976035376,34.9043507662484,23.2903632835443,0.0589552603335058,0.056914783246696,779.717174155472,514.6526710522,34.9043507662484,6.7,"empMPtest_min","West",2
1,-17.8043,-17.7241,34.398,458.67,0.125,0.13,3.265,51.178,739,131,0.0185221226567636,0.0200687892964717,34.2487144855828,3.25114960129693,0.9,0.102,1706.56605037973,175.527916618656,1532.496313241,174.069737138733,17.5527916618656,157.975124956791,1550.04910490287,332.044862095524,50.6354320876449,28.3827002495788,0.129943379885172,0.127621177994446,453.865534128301,256.816486011924,50.6354320876449,3.265,"empMPtest_min","West",2
2,-18.4976,-18.4518,69.742,560.651,0.075,0.078,4.108,35.134,1600,185,0.00925964616631023,0.00969359964144573,34.2487144855828,3.25114960129693,0.9,0.102,3533.12657345057,351.109485492624,3172.74766295861,360.378910491958,35.1109485492624,315.998536943362,3207.85861150787,676.377447435319,34.7944113766793,20.6388824522756,0.0779671641246064,0.0765984222057896,555.2778577488,331.301948873982,34.7944113766793,4.108,"empMPtest_min","West",2
4,-17.0021,-16.8817,27.763,534.052,0.093,0.094,2.683,49.822,789,108,0.0413125297175175,0.046598382813032,34.2487144855828,3.25114960129693,0.9,0.102,734.976460942858,78.6964541635988,660.008861926687,74.9675990161716,7.86964541635988,70.826808747239,667.878507343047,145.794407763411,49.2665588363705,26.92191083503,0.0939882169506432,0.0935142007856558,528.086371724202,288.097201568903,49.2665588363705,2.683,"empMPtest_min","West",2
7,-18.4938,-18.4366,52.148,467.808,0.128,0.132,4.997,52.448,765,192,0.00929489976115057,0.00984206785592876,34.2487144855828,3.25114960129693,0.9,0.102,3479.82913620654,349.777801250273,3124.88656431348,354.942571893068,34.9777801250273,314.800021125246,3159.8643444385,669.742593018313,51.9227462347129,30.1445419877281,0.131955722428165,0.130119874564307,463.206896122754,272.43476534992,51.9227462347129,4.997,"empMPtest_min","West",2
11,-19.4289,-19.4113,136.013,785.529,0.054,0.059,6.7,35.159,2238,382,0.00364868138137785,0.00371346661140019,34.2487144855828,3.25114960129693,0.9,0.102,9222.84163817191,891.047822890252,8282.11179107837,940.729847093534,89.1047822890252,801.943040601227,8371.2165733674,1742.67288769476,34.8560771241027,22.0627401375652,0.0589467790723677,0.0566991004844803,778.615431193602,486.634790055546,34.8560771241027,6.7,"empMPtest_min","West",2
1,-17.8043,-17.7241,34.398,458.67,0.125,0.13,3.265,51.178,739,131,0.0185221226567636,0.0200687892964717,33.9689053585097,6.17154643918944,0.9,0.102,1692.62354876992,333.198659438517,1519.97594679539,172.647601974532,33.3198659438517,299.878793494666,1553.29581273924,472.526395469197,50.1502146136785,20.7710369806261,0.129892744621885,0.126826856696578,449.568909243308,189.414828874089,50.1502146136785,3.265,"empMPtest_min","West",2
2,-18.4976,-18.4518,69.742,560.651,0.075,0.078,4.108,35.134,1600,185,0.00925964616631023,0.00969359964144573,33.9689053585097,6.17154643918944,0.9,0.102,3504.2612254454,666.499165124003,3146.82658044997,357.43464499543,66.6499165124002,599.849248611602,3213.47649696237,957.283893607033,34.4904974532509,15.6926170291679,0.0779377777463983,0.0761201524878329,550.469178568876,253.039645883188,34.4904974532509,4.108,"empMPtest_min","West",2
4,-17.0021,-16.8817,27.763,534.052,0.093,0.094,2.683,49.822,789,108,0.0413125297175175,0.046598382813032,33.9689053585097,6.17154643918944,0.9,0.102,728.971764852958,149.386795758783,654.616644837956,74.3551200150017,14.9386795758783,134.448116182905,669.555324413834,208.803236197906,48.7702655266108,19.4692628291118,0.0939776886553939,0.0933561013773969,522.756011650698,208.053210260892,48.7702655266108,2.683,"empMPtest_min","West",2
7,-18.4938,-18.4366,52.148,467.808,0.128,0.132,4.997,52.448,765,192,0.00929489976115057,0.00984206785592876,33.9689053585097,6.17154643918944,0.9,0.102,3451.39922379697,663.971274330934,3099.35650296968,352.042720827291,66.3971274330934,597.57414689784,3165.75363040277,949.616867725132,51.4527835486722,22.5880724774647,0.131916105755299,0.129482883182859,459.090129561886,206.241805946829,51.4527835486722,4.997,"empMPtest_min","West",2
11,-19.4289,-19.4113,136.013,785.529,0.054,0.059,6.7,35.159,2238,382,0.00364868138137785,0.00371346661140019,33.9689053585097,6.17154643918944,0.9,0.102,9147.4917949246,1691.44570164109,8214.44763184229,933.044163082309,169.144570164109,1522.30113147698,8383.5922020064,2455.34529455929,34.5848206737264,17.5145701119913,0.0588991216616407,0.0559000263733777,772.424581036442,382.832505986161,34.5848206737264,6.7,"empMPtest_min","West",2
1,-17.8043,-17.7241,34.398,458.67,0.125,0.13,3.265,51.178,739,131,0.0185221226567636,0.0200687892964717,33.0401084241994,8.44079904485529,0.9,0.102,1646.3428827771,455.71445569566,1478.41590873384,167.926974043264,45.571445569566,410.143010126094,1523.9873543034,578.069984169358,49.7452685108515,17.1835311946204,0.129850486142681,0.126452479618749,445.98309134548,157.647286561142,49.7452685108515,3.265,"empMPtest_min","West",2
2,-18.4976,-18.4518,69.742,560.651,0.075,0.078,4.108,35.134,1600,185,0.00925964616631023,0.00969359964144573,33.0401084241994,8.44079904485529,0.9,0.102,3408.44574217135,911.568206090403,3060.78427646987,347.661465701477,91.1568206090403,820.411385481363,3151.94109707891,1168.07285118284,34.2367016593561,13.342479359683,0.0779132374453061,0.0758929104002788,546.453493679265,215.854583896817,34.2367016593561,4.108,"empMPtest_min","West",2
4,-17.0021,-16.8817,27.763,534.052,0.093,0.094,2.683,49.822,789,108,0.0413125297175175,0.046598382813032,33.0401084241994,8.44079904485529,0.9,0.102,709.039808457885,204.315714931303,636.717747995181,72.3220604627043,20.4315714931303,183.884143438173,657.149319488311,256.206203900877,48.3563911649112,15.9894287915151,0.0939689087839138,0.0932822806761178,518.310859298919,170.678601230985,48.3563911649112,2.683,"empMPtest_min","West",2
7,-18.4938,-18.4366,52.148,467.808,0.128,0.132,4.997,52.448,765,192,0.00929489976115057,0.00984206785592876,33.0401084241994,8.44079904485529,0.9,0.102,3357.02912313253,908.110820101028,3014.61215257301,342.416970559518,90.8110820101028,817.299738090925,3105.42323458312,1159.71670865044,51.0604027783157,19.0073419643987,0.131883029042871,0.129181036603182,455.65296298992,174.87541861967,51.0604027783157,4.997,"empMPtest_min","West",2
11,-19.4289,-19.4113,136.013,785.529,0.054,0.059,6.7,35.159,2238,382,0.00364868138137785,0.00371346661140019,33.0401084241994,8.44079904485529,0.9,0.102,8897.37592436341,2313.3834288561,7989.84358007834,907.532344285068,231.33834288561,2082.04508597049,8221.18192296395,2989.57743025555,34.3581835283694,15.3391684405381,0.0588593034766452,0.0555178271268383,767.252071387342,333.183600823098,34.3581835283694,6.7,"empMPtest_min","West",2
1,-17.8043,-17.7241,34.398,458.67,0.125,0.13,3.265,51.178,739,131,0.0185221226567636,0.0200687892964717,42.9509119573996,7.6675113262138,0.9,0.102,2140.18450853689,413.965044304136,1921.88568866613,218.298819870763,41.3965044304136,372.568539873723,1963.28219309654,590.867359744485,50.1677373267334,20.9666908853975,0.129894573218827,0.126847274318598,449.72407373965,191.147353940045,50.1677373267334,3.265,"empMPtest_min","West",2
2,-18.4976,-18.4518,69.742,560.651,0.075,0.078,4.108,35.134,1600,185,0.00925964616631023,0.00969359964144573,42.9509119573996,7.6675113262138,0.9,0.102,4430.8526807482,828.056622088957,3978.90570731189,451.946973436317,82.8056622088957,745.250959880061,4061.71136952078,1197.19793331638,34.5014763561557,15.8204381922313,0.0779388393305121,0.0761325119118383,550.642892300781,255.062096709537,34.5014763561557,4.108,"empMPtest_min","West",2
4,-17.0021,-16.8817,27.763,534.052,0.093,0.094,2.683,49.822,789,108,0.0413125297175175,0.046598382813032,42.9509119573996,7.6675113262138,0.9,0.102,921.72537681689,185.597720077708,827.709388381568,94.0159884353228,18.5597720077708,167.037948069937,846.269160389338,261.05393650526,48.7881810525249,19.6596437471951,0.0939780687127967,0.0933601400909479,522.948430533142,210.097966505943,48.7881810525249,2.683,"empMPtest_min","West",2
7,-18.4938,-18.4366,52.148,467.808,0.128,0.132,4.997,52.448,765,192,0.00929489976115057,0.00984206785592876,42.9509119573996,7.6675113262138,0.9,0.102,4364.0129885435,824.915977928167,3918.88366371207,445.129324831437,82.4915977928166,742.42438013535,4001.37526150488,1187.55370496679,51.4697591325351,22.7830011755571,0.131917536754339,0.129499315182024,459.238831827139,207.949337140041,51.4697591325351,4.997,"empMPtest_min","West",2
11,-19.4289,-19.4113,136.013,785.529,0.054,0.059,6.7,35.159,2238,382,0.00364868138137785,0.00371346661140019,42.9509119573996,7.6675113262138,0.9,0.102,11566.2577456714,2101.44721469714,10386.4994556129,1179.75829005848,210.144721469714,1891.30249322743,10596.6441770827,3071.06078328591,34.5946223981512,17.632620207162,0.0589008437397925,0.0559207667534281,772.648284499019,385.526747723921,34.5946223981512,6.7,"empMPtest_min","West",2
1,-17.8043,-17.7241,34.398,458.67,0.125,0.13,3.265,51.178,739,131,0.0185221226567636,0.0200687892964717,43.1827861907203,13.7325340975694,0.9,0.102,2151.73848072202,741.412544990074,1932.26115568837,219.477325033646,74.1412544990073,667.271290491066,2006.40241018738,886.748615524712,49.4075027613732,15.1238480322742,0.129815238323772,0.126237539710754,442.99215882064,139.40868963223,49.4075027613732,3.265,"empMPtest_min","West",2
